facebook.com,173.252.120.6
youtube.com,216.58.217.46
yahoo.com,98.139.183.24
live.com,65.55.206.154
wikipedia.org,198.35.26.96
msn.com,23.101.196.141
baidu.com,123.125.114.144
blogspot.com,216.58.217.41
microsoft.com,134.170.185.46
qq.com,125.39.240.113
taobao.com,110.75.115.70
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,106.120.151.169
163.com,123.58.180.7
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.150.7
mozilla.com,63.245.217.194
youku.com,123.126.99.31
sdjjdsaf.com,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
